variable,type,unit,description
spcode,string,,"a uniqe code for study species, see species-info.csv for details"
light,string,,"light treatment: ""fs"" for full sun and ""s"" for 50% shade "
block,string,,"block ID, ""b1"" is for block 1"
treatment,string,,"sample is either used for destructive measurement for harvesting above ground biomass or used for burning, so ""h"" is for harvest and ""b"" is for burning"
rep,string,,"there are 3 replications for each sample of each treatment, use number 1-3 for replication"
area,numeric,cm^2,leaf area mearsured by scanning the leaf and analyzing the image with imageJ
mass,numeirc,g,oven-dryied biomass of samples leaves
