variable,type,unit,description
spcode,string,,"uniqe code for sampled species, see DTM-species.csv for details"
label,string,,"uniqe code for each replicate of each species, a combination of spcode and number of replicate"
location,string,,"where sample is collected, either in open area (sun) or under canopy(shade)"
initial,numeric,g,"initial mass of sample, which include mass of sample ziplock and sample"
dry.total,numeric,g,"mass of oven-dried sample, which include mass of bag and sample"
bag,numeric,g,mass of bag
ziplock,numeric,g,mass of ziplock
,,,
"note: this is field fuel moisture content, and the calculation should be [(initial-ziplock)-(dry.total-bag)]/(dry.total-bag)*100%",,,
