variable,type ,unit,description,,
spcode,string,,"USDA species code, or the first 2 letters of species scientific name",,
light,string,,"label for light treatment, ""fs"" represents for full sunlight treatment and ""s"" represents for 50% shade treatment",,
block,string,,label for block: e.g. b4 is block 4,,
trial.date,date,mm/dd/yy,"date when flammability experiment was done, also when the soil moisture content was measured",,
soil_mois,numeric,%,"soil moisture content for each plant prior to flammability trial, in volumetric unit (%)",,
