spcode,light,block,h1,h2,baseW.a,baseW.b,canW.a,canW.b,tiller.num,tiller1tck.a,tiller1tck.b,tiller2tck.a,tiller2tck.b,tiller3tck.a,tiller3tck.b
arpu9,fs,b1,17,72,3.5,3.8,47,60,102,1.12,1.23,1.2,1.49,1.19,1.14
elvi3,fs,b1,27,55,3.7,4.4,42.5,47,24,1.72,1.88,1.15,1.35,1.44,1.91
elvi3,fs,b1,27,55,4,3.3,24.5,46,24,1.5,1.89,1.37,1.72,1.68,1.67
elvi3,fs,b1,27,55,3.4,3.8,40.5,43.5,24,1.78,2.25,1.48,1.77,2.03,2.14
agsc5,s,b1,11.8,17,4.4,4.1,12.6,12.6,24,0.84,0.69,0.69,1.28,0.78,0.96
agsc5,s,b1,11.8,17,4,5,12.6,12.6,24,0.62,1.01,1.14,1.78,0.71,0.96
agsc5,s,b1,11.8,17,4,3.5,12.6,12.6,24,0.84,1.09,0.91,0.99,0.61,0.73
bogr2,s,b1,13.5,40,2.5,2.6,21.5,11.2,39,1.11,1.18,1.05,0.97,0.62,0.67
bogr2,s,b1,13.5,40,2.6,2,13.5,15.2,39,0.76,0.75,0.65,0.68,0.48,0.5
bogr2,s,b1,13.5,40,2.5,2.7,10,7,39,0.55,0.61,0.43,0.38,0.45,0.46
feru2,s,b1,3.5,40,4.7,4.2,22.5,13.5,104,0.58,0.66,0.31,0.63,0.34,0.33
feru2,s,b1,3.5,40,6.1,6.5,14,16.5,104,0.44,0.77,0.37,0.54,0.5,0.83
feru2,s,b1,3.5,40,6.5,4.2,14,15,104,0.45,0.79,0.25,0.54,0.61,0.86
ercu2,fs,b1,2.5,42,8.5,10.5,49,47,129,2.16,4.54,1.91,3.58,2.87,4.48
ercu2,fs,b1,2.5,42,6.5,10.5,45,45,129,1.13,4.78,1.28,1.85,2.11,3.78
ercu2,fs,b1,2.5,42,8,11,39,36,129,0.74,4.72,0.86,1.61,1.65,3.1
nete,fs,b1,15.2,30,3,2.9,12.6,12.6,40,0.69,1,0.41,1.05,0.76,1.02
nete,fs,b1,15.2,30,4.1,2.2,12.6,12.6,40,0.59,0.63,0.49,0.7,0.65,0.67
nete,fs,b1,15.2,30,3.1,2.7,12.6,12.6,40,0.59,0.74,0.31,0.57,0.7,0.91
pava2,fs,b1,4.5,48,5.2,3.7,26.5,30,29,1.15,1.22,1.53,1.69,1.27,1.29
pava2,fs,b1,4.5,48,4.9,4.4,34.5,25,29,1.16,1.26,1.61,1.56,1.24,1.26
pava2,fs,b1,4.5,48,4,5,23.5,36,29,1.4,1.22,1.6,1.57,1.2,1.27
navi4,s,b1,8.6,43.5,4.5,3.9,23,31,46,1.68,2.13,1.32,1.49,1.46,1.53
navi4,s,b1,8.6,43.5,4.1,4.3,28,19.5,46,1.86,1.7,1.35,1.71,1.32,1.45
navi4,s,b1,8.6,43.5,5.2,5.5,30,26,46,1.26,1.37,1.3,1.1,1.37,1.45
agsc5,fs,b1,2.5,8,4.5,4,12.6,12.6,56,0.73,0.89,0.49,1.03,0.87,1.04
agsc5,fs,b1,2.5,8,4,4.8,12.6,12.6,56,0.5,1.04,0.56,0.83,0.65,1.13
agsc5,fs,b1,2.5,8,3.5,4,12.6,12.6,56,0.48,1.01,0.63,0.96,0.44,0.84
navi4,fs,b1,4.5,40,6,6.2,21,30,72,1.46,2.17,2.12,2.37,1.3,2
navi4,fs,b1,4.5,40,5.5,7,29,23,72,1.88,2.19,1.78,1.65,1.57,1.79
navi4,fs,b1,4.5,40,5.5,6,25.5,20,72,1.63,2.37,1.62,2.32,1.46,1.87
elvi3,s,b1,19.5,47,5.3,4.8,53,26,29,2.04,2.06,2.91,3.06,2.11,2.42
elvi3,s,b1,19.5,47,6.8,3.8,43,37,29,1.83,2.04,2,2.86,2.07,2.2
elvi3,s,b1,19.5,47,4.7,4.8,57.5,43,29,1.93,1.72,1.98,2.13,2.03,2.56
pava2,s,b1,12,47,3.7,3.4,30,27,32,1.43,1.67,1.32,1.42,1.03,0.92
pava2,s,b1,12,47,3,2.9,30,38,32,1.21,1.44,1.18,1.01,0.84,1.18
pava2,s,b1,12,47,3.2,3.5,31,23,32,1.24,1.34,0.61,0.59,0.75,0.97
nete,s,b1,24.5,38,2.5,2.3,11,20,76,0.4,0.83,0.29,0.47,0.45,0.63
nete,s,b1,24.5,38,2.4,2.5,11.5,18,76,0.4,0.61,0.43,0.57,0.34,0.5
nete,s,b1,24.5,38,2.5,2.5,13.5,9,76,0.51,0.54,0.18,0.11,0.2,0.24
ante2,s,b1,12.5,44,3,3.4,37,16.5,13,1.57,3.24,1.5,2.46,1.3,1.67
ante2,s,b1,12.5,44,3.5,2.5,39,35,13,1.98,2.23,1.34,2.11,1.73,1.37
ante2,s,b1,12.5,44,2.9,2.6,38,40,13,1.09,1.71,1.2,1.81,0.9,1.63
ante2,fs,b1,8,120,5,5.1,17,13.5,30,2.38,4.91,3.09,3.89,3.74,5.36
ante2,fs,b1,8,120,4.1,5.5,10,9.5,30,1.86,3.68,2.23,2.44,2.16,2.67
ante2,fs,b1,8,120,6,4,13,7.5,30,1.99,1.88,2.06,2.24,1.74,1.96
chla5,fs,b1,16,69.5,2.5,3.4,39,24,16,1.48,1.66,1.93,2.71,1.72,3.34
chla5,fs,b1,16,69.5,3,3.7,30,25,16,1.4,2.2,2.23,1.92,2.38,3.13
chla5,fs,b1,16,69.5,4,3,28.5,20,16,1.28,1.97,1.58,2.19,2.51,1.84
chla5,s,b1,25,47,7,4.2,54,44,33,1.44,2.1,1.78,1.76,1.6,1.66
chla5,s,b1,25,47,6,5.8,45,51.5,33,1.74,3,1.92,2.26,2.08,2.72
chla5,s,b1,25,47,4,6.2,43,54,33,1.75,1.96,2.13,2.62,1.91,2.05
ercu2,fs,b5,9.9,37.7,10.2,7.1,46,27,84,1.64,2.98,1.24,2.51,0.99,1.24
ercu2,fs,b5,9.9,37.7,9.7,9.8,33,30,84,1.34,2.29,1.2,1.82,0.73,0.95
ercu2,fs,b5,9.9,37.7,8.7,10.6,30,19,84,0.89,2.06,1.16,1.34,0.54,0.98
elvi3,fs,b5,6.1,41,6,5,19.5,18.5,16,2.49,2.99,2.5,2.81,2.05,2.39
