label,spcode,ini.mass
hene4,,4.92
hene3,,5.09
scsc3,,4.85
pifi3,,3.18
hene1,,22.88
erle1,,6.13
pifi5,,4.64
erle2,,4.06
erle4,,3.47
scsc1,,4.64
pifi2,,4.05
hene5,,5.55
erle3,,4.29
pifi1,,4.7
scsc3,,3.81
scsc4,,4.53
erle5,,3.22
pifi4,,5.26
scsc2,,3.42
