variable,type,unit,description
spcode,string,,"USDA species code, or the first 2 letters of species scientific name"
light,string,,"label for light treatment, ""fs"" represents for full sunlight treatment and ""s"" represents for 50% shade treatment"
block,string,,label for block: e.g. b4 is block 4
t.fresh,numeric,g,total fresh mass of sub-sample from the plant
d.fresh,numeric,g,fresh mass of dead material of the sub-sample
m.leaf,numeric,g,oven-dried mass of the leaf portion of the sub-sample
m.nleaf,numeric,g,oven-dried mass of the non-leaf portion of the sub-sample
