variable	type	unit	description
label	string		"uniqe code for each replication of each sampled species, a combination of species code and number of replication"
spcode	string		"uniqe code for species, see DMT-species for scientific name"
ini.mass	numeric	g	"mass of fresh fuel, which include mass of fuel and ziplock bag"
final.mass	numeric	g	"mass of air-dried fuel, which include mass of dried fuel and ziplock bag"
ziplock	numeric	g	mass of ziplockbag only
