variable,type,unit,description
spcode,string,,uniqe code for each study species
treatment,string,,two light treatment
block,string,,label for block
biomass,numeric,g,oven-dried above-ground biomass of each replicate of each sepcies for each treatment at harvest 
harvestdate,date,yyyy/mm/dd,date of harvest 
