variable,type,unit,description,,
spcode,string,,"USDA species code, or the first 2 letters of species scientific name",,
light,string,,"label for light treatment, ""fs"" represents for full sunlight treatment and ""s"" represents for 50% shade treatment",,
block,string,,label for block: e.g. b4 is block 4,,
tiller.num,numeric,count,count of total number of tillers resprouted,,
max.leaflen,numeric,cm,maximum leaf length measured for resprouters,,
tmass.dry,numeric,g,"total aboveground biomass, oven-dried",,
survival,logical,,logical number indicated whether the plant survived (1) or not(0),,
resprout.date,date,mm/dd/yy,date of first resprouted tiller ,,
