spcode,light,block,treatment,rep,length,dia.a,dia.b,mass
nete,s,b1,h,1,20,0.07,0.09,
nete,s,b1,h,1,20,0.07,0.11,
nete,s,b1,h,2,20,0.12,0.18,0.0057
nete,s,b1,h,2,20,0.15,0.2,
nete,s,b1,h,2,20,0.1,0.14,
nete,s,b1,h,3,20,0.11,0.18,0.0053
nete,s,b1,h,3,20,0.12,0.22,
nete,s,b1,h,3,20,0.05,0.07,
nete,fs,b5,b,1,20,0.04,0.04,0.0055
nete,fs,b5,b,1,20,0.12,0.1,
nete,fs,b5,b,1,20,0.13,0.12,
nete,fs,b5,b,2,20,0.12,0.22,0.0057
nete,fs,b5,b,2,20,0.08,0.08,
nete,fs,b5,b,2,20,0.04,0.03,
nete,fs,b5,b,3,20,0.1,0.1,0.0055
nete,fs,b5,b,3,20,0.07,0.1,
nete,fs,b5,b,3,20,0.15,0.14,
nete,fs,b5,h,1,20,0.17,0.2,0.0109
nete,fs,b5,h,1,20,0.19,0.24,
nete,fs,b5,h,1,20,0.12,0.14,
nete,fs,b5,h,2,20,0.14,0.16,0.009
nete,fs,b5,h,2,20,0.19,0.23,
nete,fs,b5,h,2,20,0.12,0.13,
nete,fs,b5,h,3,20,0.1,0.2,0.0092
nete,fs,b5,h,3,20,0.15,0.24,
nete,fs,b5,h,3,20,0.16,0.27,
nete,s,b3,b,1,20,0.12,0.15,0.0069
nete,s,b3,b,1,20,0.09,0.13,
nete,s,b3,b,1,20,0.1,0.09,
nete,s,b3,b,2,20,0.14,0.21,0.0055
nete,s,b3,b,2,20,0.09,0.16,
nete,s,b3,b,2,20,0.06,0.11,
nete,s,b3,b,3,20,0.14,0.19,0.0056
nete,s,b3,b,3,20,0.09,0.15,
nete,s,b3,b,3,20,0.12,0.11,
nete,s,b3,h,1,20,0.12,0.16,0.0053
nete,s,b3,h,1,20,0.08,0.12,
nete,s,b3,h,1,20,0.12,0.09,
nete,s,b3,h,2,20,0.12,0.11,0.0052
nete,s,b3,h,2,20,0.08,0.09,
nete,s,b3,h,2,20,0.07,0.19,
nete,s,b3,h,3,20,0.1,0.09,0.0045
nete,s,b3,h,3,20,0.09,0.12,
nete,s,b3,h,3,20,0.05,0.13,
nete,fs,b4,b,1,20,0.11,0.11,0.0057
nete,fs,b4,b,1,20,0.1,0.1,
nete,fs,b4,b,1,20,0.12,0.12,
nete,fs,b4,b,2,20,0.16,0.22,0.007
nete,fs,b4,b,2,20,0.16,0.16,
nete,fs,b4,b,2,20,0.11,0.18,
nete,fs,b4,b,3,20,0.15,0.17,0.0063
nete,fs,b4,b,3,20,0.15,0.17,
nete,fs,b4,b,3,20,0.09,0.14,
