"Plot Title: 100CM-180705"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 2247367, SEN S/N: 2247367)","Started (LGR S/N: 2247367)","Button Down (LGR S/N: 2247367)","Button Up (LGR S/N: 2247367)","Host Connected (LGR S/N: 2247367)","Stopped (LGR S/N: 2247367)","End Of File (LGR S/N: 2247367)"
113,07/05/18 12:16:18 PM,29.34,,,,,,
114,07/05/18 12:16:19 PM,29.34,,,,,,
115,07/05/18 12:16:20 PM,29.34,,,,,,
116,07/05/18 12:16:21 PM,29.34,,,,,,
117,07/05/18 12:16:22 PM,29.34,,,,,,
118,07/05/18 12:16:23 PM,29.34,,,,,,
119,07/05/18 12:16:24 PM,29.34,,,,,,
120,07/05/18 12:16:25 PM,29.34,,,,,,
121,07/05/18 12:16:26 PM,29.34,,,,,,
122,07/05/18 12:16:27 PM,29.34,,,,,,
123,07/05/18 12:16:28 PM,29.34,,,,,,
124,07/05/18 12:16:29 PM,29.34,,,,,,
125,07/05/18 12:16:30 PM,29.34,,,,,,
126,07/05/18 12:16:31 PM,29.34,,,,,,
127,07/05/18 12:16:32 PM,29.34,,,,,,
128,07/05/18 12:16:33 PM,29.34,,,,,,
129,07/05/18 12:16:34 PM,29.34,,,,,,
130,07/05/18 12:16:35 PM,29.34,,,,,,
131,07/05/18 12:16:36 PM,29.34,,,,,,
132,07/05/18 12:16:37 PM,29.34,,,,,,
133,07/05/18 12:16:38 PM,29.34,,,,,,
134,07/05/18 12:16:39 PM,29.34,,,,,,
135,07/05/18 12:16:40 PM,29.34,,,,,,
136,07/05/18 12:16:41 PM,29.34,,,,,,
137,07/05/18 12:16:42 PM,29.34,,,,,,
138,07/05/18 12:16:43 PM,29.34,,,,,,
139,07/05/18 12:16:44 PM,29.34,,,,,,
140,07/05/18 12:16:45 PM,29.34,,,,,,
141,07/05/18 12:16:46 PM,29.34,,,,,,
142,07/05/18 12:16:47 PM,29.34,,,,,,
143,07/05/18 12:16:48 PM,29.34,,,,,,
144,07/05/18 12:16:49 PM,29.34,,,,,,
145,07/05/18 12:16:50 PM,29.34,,,,,,
146,07/05/18 12:16:51 PM,29.34,,,,,,
147,07/05/18 12:16:52 PM,29.34,,,,,,
148,07/05/18 12:16:53 PM,29.34,,,,,,
149,07/05/18 12:16:54 PM,29.34,,,,,,
150,07/05/18 12:16:55 PM,29.34,,,,,,
151,07/05/18 12:16:56 PM,29.01,,,,,,
152,07/05/18 12:16:57 PM,29.34,,,,,,
153,07/05/18 12:16:58 PM,29.34,,,,,,
154,07/05/18 12:16:59 PM,29.34,,,,,,
155,07/05/18 12:17:00 PM,29.34,,,,,,
156,07/05/18 12:17:01 PM,29.34,,,,,,
157,07/05/18 12:17:02 PM,29.34,,,,,,
158,07/05/18 12:17:03 PM,29.34,,,,,,
159,07/05/18 12:17:04 PM,29.34,,,,,,
160,07/05/18 12:17:05 PM,29.34,,,,,,
161,07/05/18 12:17:06 PM,29.34,,,,,,
162,07/05/18 12:17:07 PM,29.01,,,,,,
163,07/05/18 12:17:08 PM,29.01,,,,,,
164,07/05/18 12:17:09 PM,29.01,,,,,,
165,07/05/18 12:17:10 PM,29.01,,,,,,
166,07/05/18 12:17:11 PM,29.34,,,,,,
167,07/05/18 12:17:12 PM,29.01,,,,,,
168,07/05/18 12:17:13 PM,29.01,,,,,,
169,07/05/18 12:17:14 PM,29.34,,,,,,
170,07/05/18 12:17:15 PM,29.34,,,,,,
171,07/05/18 12:17:16 PM,29.01,,,,,,
172,07/05/18 12:17:17 PM,29.01,,,,,,
173,07/05/18 12:17:18 PM,29.01,,,,,,
174,07/05/18 12:17:19 PM,29.01,,,,,,
175,07/05/18 12:17:20 PM,29.01,,,,,,
176,07/05/18 12:17:21 PM,29.34,,,,,,
177,07/05/18 12:17:22 PM,29.34,,,,,,
178,07/05/18 12:17:23 PM,29.01,,,,,,
