"Plot Title: 100CM-190508"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 2247367, SEN S/N: 2247367)","Started (LGR S/N: 2247367)","Button Down (LGR S/N: 2247367)","Button Up (LGR S/N: 2247367)","Host Connected (LGR S/N: 2247367)","Stopped (LGR S/N: 2247367)","End Of File (LGR S/N: 2247367)"
113,05/08/19 09:19:48 AM,24.31,,,,,,
114,05/08/19 09:19:49 AM,24.31,,,,,,
115,05/08/19 09:19:50 AM,23.98,,,,,,
116,05/08/19 09:19:51 AM,24.31,,,,,,
117,05/08/19 09:19:52 AM,23.98,,,,,,
118,05/08/19 09:19:53 AM,24.31,,,,,,
119,05/08/19 09:19:54 AM,24.31,,,,,,
120,05/08/19 09:19:55 AM,24.31,,,,,,
121,05/08/19 09:19:56 AM,24.31,,,,,,
122,05/08/19 09:19:57 AM,24.31,,,,,,
123,05/08/19 09:19:58 AM,24.31,,,,,,
124,05/08/19 09:19:59 AM,24.31,,,,,,
125,05/08/19 09:20:00 AM,24.31,,,,,,
126,05/08/19 09:20:01 AM,24.31,,,,,,
127,05/08/19 09:20:02 AM,24.31,,,,,,
128,05/08/19 09:20:03 AM,23.98,,,,,,
129,05/08/19 09:20:04 AM,24.31,,,,,,
130,05/08/19 09:20:05 AM,24.31,,,,,,
131,05/08/19 09:20:06 AM,24.31,,,,,,
132,05/08/19 09:20:07 AM,23.98,,,,,,
133,05/08/19 09:20:08 AM,24.31,,,,,,
134,05/08/19 09:20:09 AM,24.31,,,,,,
135,05/08/19 09:20:10 AM,24.31,,,,,,
136,05/08/19 09:20:11 AM,24.31,,,,,,
137,05/08/19 09:20:12 AM,23.98,,,,,,
138,05/08/19 09:20:13 AM,24.31,,,,,,
139,05/08/19 09:20:14 AM,24.31,,,,,,
140,05/08/19 09:20:15 AM,24.31,,,,,,
141,05/08/19 09:20:16 AM,24.31,,,,,,
142,05/08/19 09:20:17 AM,24.31,,,,,,
143,05/08/19 09:20:18 AM,24.31,,,,,,
144,05/08/19 09:20:19 AM,24.31,,,,,,
145,05/08/19 09:20:20 AM,23.98,,,,,,
146,05/08/19 09:20:21 AM,24.31,,,,,,
147,05/08/19 09:20:22 AM,24.31,,,,,,
148,05/08/19 09:20:23 AM,24.31,,,,,,
149,05/08/19 09:20:24 AM,24.31,,,,,,
150,05/08/19 09:20:25 AM,24.31,,,,,,
