Enter a label: 2019-03-29 16:08:23,593		0.0473251343	2164800.0000000000
2019-03-29 16:08:24,584		1.0374259949	2164810.0000000000
2019-03-29 16:08:25,586		2.0395619869	2164870.0000000000
2019-03-29 16:08:26,584		3.0375640392	2164880.0000000000
2019-03-29 16:08:27,585		4.0386641026	2164930.0000000000
2019-03-29 16:08:28,626		5.0796651840	2164940.0000000000
2019-03-29 16:08:29,609		6.0627980232	2164950.0000000000
2019-03-29 16:08:30,592		7.0459051132	2164960.0000000000
2019-03-29 16:08:31,583		8.0370571613	2164920.0000000000
2019-03-29 16:08:32,586		9.0401401520	2165250.0000000000
2019-03-29 16:08:33,583		10.0372731686	2165190.0000000000
2019-03-29 16:08:34,602		11.0563790798	2164780.0000000000
2019-03-29 16:08:35,589		12.0434031487	2164950.0000000000
2019-03-29 16:08:36,584		13.0374650955	2165060.0000000000
2019-03-29 16:08:37,589		14.0426170826	2165300.0000000000
2019-03-29 16:08:38,583		15.0367341042	2165240.0000000000
2019-03-29 16:08:39,588		16.0417830944	2165260.0000000000
2019-03-29 16:08:40,618		17.0718400478	2165170.0000000000
2019-03-29 16:08:41,600		18.0540170670	2165160.0000000000
2019-03-29 16:08:42,585		19.0391931534	2165190.0000000000
2019-03-29 16:08:43,584		20.0382511616	2165120.0000000000
2019-03-29 16:08:44,588		21.0421991348	2165050.0000000000
2019-03-29 16:08:45,583		22.0374090672	2165080.0000000000
2019-03-29 16:08:46,595		23.0485219955	2165050.0000000000
2019-03-29 16:08:47,584		24.0376520157	2165000.0000000000
2019-03-29 16:08:48,586		25.0397040844	2164960.0000000000
2019-03-29 16:08:49,583		26.0367810726	2164960.0000000000
2019-03-29 16:08:50,585		27.0388631821	2164940.0000000000
2019-03-29 16:08:51,583		28.0369141102	2164940.0000000000
2019-03-29 16:08:52,609		29.0630080700	2164930.0000000000
2019-03-29 16:08:53,592		30.0461051464	2164940.0000000000
2019-03-29 16:08:54,583		31.0370481014	2164940.0000000000
2019-03-29 16:08:55,586		32.0402941704	2164950.0000000000
2019-03-29 16:08:56,583		33.0374159813	2164950.0000000000
2019-03-29 16:08:57,603		34.0564310551	2164950.0000000000
2019-03-29 16:08:58,586		35.0397350788	2164950.0000000000
2019-03-29 16:08:59,584		36.0378730297	2165000.0000000000
2019-03-29 16:09:00,589		37.0429470539	2165030.0000000000
2019-03-29 16:09:01,583		38.0371010303	2164860.0000000000
2019-03-29 16:09:02,588		39.0421400070	2164830.0000000000
2019-03-29 16:09:03,618		40.0722720623	2164850.0000000000
2019-03-29 16:09:04,600		41.0544021130	2164850.0000000000
2019-03-29 16:09:05,584		42.0375061035	2164840.0000000000
2019-03-29 16:09:06,585		43.0385291576	2164900.0000000000
2019-03-29 16:09:07,590		44.0437040329	2164910.0000000000
2019-03-29 16:09:08,584		45.0377731323	2164920.0000000000
2019-03-29 16:09:09,595		46.0488719940	2164960.0000000000
2019-03-29 16:09:10,583		47.0370280743	2164980.0000000000
2019-03-29 16:09:11,586		48.0401740074	2165000.0000000000
2019-03-29 16:09:12,584		49.0382649899	2164860.0000000000
2019-03-29 16:09:13,586		50.0394730568	2164770.0000000000
2019-03-29 16:09:14,627		51.0804979801	2165500.0000000000
2019-03-29 16:09:15,610		52.0636801720	2164630.0000000000
2019-03-29 16:09:16,593		53.0468270779	2164680.0000000000
2019-03-29 16:09:17,583		54.0368771553	2165450.0000000000
2019-03-29 16:09:18,587		55.0409810543	2174160.0000000000
2019-03-29 16:09:19,583		56.0371160507	2168690.0000000000
2019-03-29 16:09:20,603		57.0571601391	2165150.0000000000
2019-03-29 16:09:21,586		58.0403120518	2164450.0000000000
2019-03-29 16:09:22,585		59.0384550095	2164430.0000000000
2019-03-29 16:09:23,589		60.0425391197	2164510.0000000000
2019-03-29 16:09:24,584		61.0377001762	2164410.0000000000
2019-03-29 16:09:25,589		62.0427219868	2164570.0000000000
2019-03-29 16:09:26,618		63.0718231201	2164430.0000000000
2019-03-29 16:09:27,601		64.0549860001	2164900.0000000000
2019-03-29 16:09:28,584		65.0381209850	2164510.0000000000
2019-03-29 16:09:29,585		66.0392711163	2165500.0000000000
2019-03-29 16:09:30,589		67.0433580875	2164760.0000000000
2019-03-29 16:09:31,584		68.0374720097	2164540.0000000000
2019-03-29 16:09:32,595		69.0486001968	2164530.0000000000
2019-03-29 16:09:33,584		70.0377581120	2164590.0000000000
2019-03-29 16:09:34,587		71.0408320427	2164630.0000000000
2019-03-29 16:09:35,583		72.0369901657	2164620.0000000000
2019-03-29 16:09:36,585		73.0391461849	2164610.0000000000
2019-03-29 16:09:37,583		74.0372610092	2164640.0000000000
2019-03-29 16:09:38,609		75.0633451939	2164650.0000000000
2019-03-29 16:09:39,593		76.0464920998	2164650.0000000000
2019-03-29 16:09:40,584		77.0376040936	2164680.0000000000
2019-03-29 16:09:41,588		78.0416851044	2164670.0000000000
2019-03-29 16:09:42,583		79.0368092060	2164700.0000000000
2019-03-29 16:09:43,608		80.0618441105	2164660.0000000000
2019-03-29 16:09:44,586		81.0400111675	2164570.0000000000
2019-03-29 16:09:45,584		82.0381040573	2164660.0000000000
2019-03-29 16:09:46,589		83.0431790352	2164690.0000000000
2019-03-29 16:09:47,583		84.0372970104	2164710.0000000000
2019-03-29 16:09:48,588		85.0423140526	2165290.0000000000
