Enter a label: 2019-03-29 15:17:35,898		0.0431349277	2462990.0000000000
2019-03-29 15:17:36,898		1.0432538986	2463010.0000000000
2019-03-29 15:17:37,894		2.0383849144	2463010.0000000000
2019-03-29 15:17:38,904		3.0484640598	2463120.0000000000
2019-03-29 15:17:39,893		4.0376558304	2463080.0000000000
2019-03-29 15:17:40,896		5.0406270027	2463080.0000000000
2019-03-29 15:17:41,892		6.0368180275	2462960.0000000000
2019-03-29 15:17:42,895		7.0397849083	2462950.0000000000
2019-03-29 15:17:43,892		8.0368649960	2463050.0000000000
2019-03-29 15:17:44,918		9.0628988743	2463150.0000000000
2019-03-29 15:17:45,909		10.0539588928	2463150.0000000000
2019-03-29 15:17:46,894		11.0390770435	2463180.0000000000
2019-03-29 15:17:47,896		12.0411808491	2463200.0000000000
2019-03-29 15:17:48,892		13.0373029709	2462830.0000000000
2019-03-29 15:17:49,913		14.0573909283	2463510.0000000000
2019-03-29 15:17:50,901		15.0454790592	2462900.0000000000
2019-03-29 15:17:51,899		16.0436298847	2463280.0000000000
2019-03-29 15:17:52,892		17.0367159843	2463300.0000000000
2019-03-29 15:17:53,892		18.0368640423	2463250.0000000000
2019-03-29 15:17:54,898		19.0428688526	2463180.0000000000
2019-03-29 15:17:55,928		20.0728960037	2463100.0000000000
2019-03-29 15:17:56,917		21.0621328354	2463110.0000000000
2019-03-29 15:17:57,895		22.0401859283	2463080.0000000000
2019-03-29 15:17:58,894		23.0392940044	2463070.0000000000
2019-03-29 15:17:59,893		24.0374538898	2463070.0000000000
2019-03-29 15:18:00,893		25.0376629829	2463080.0000000000
2019-03-29 15:18:01,904		26.0487258434	2463090.0000000000
2019-03-29 15:18:02,892		27.0367798805	2463120.0000000000
2019-03-29 15:18:03,896		28.0409049988	2463120.0000000000
2019-03-29 15:18:04,892		29.0370779037	2463140.0000000000
2019-03-29 15:18:05,894		30.0391440392	2463150.0000000000
2019-03-29 15:18:06,892		31.0373139381	2463150.0000000000
2019-03-29 15:18:07,920		32.0644240379	2463150.0000000000
2019-03-29 15:18:08,908		33.0533099174	2463150.0000000000
2019-03-29 15:18:09,894		34.0386669636	2463150.0000000000
2019-03-29 15:18:10,897		35.0418019295	2463150.0000000000
2019-03-29 15:18:11,892		36.0369589329	2463150.0000000000
2019-03-29 15:18:12,913		37.0580708981	2463150.0000000000
2019-03-29 15:18:13,901		38.0460808277	2463070.0000000000
2019-03-29 15:18:14,899		39.0442368984	2463080.0000000000
2019-03-29 15:18:15,898		40.0432188511	2463060.0000000000
2019-03-29 15:18:16,892		41.0372929573	2463150.0000000000
2019-03-29 15:18:17,898		42.0424070358	2463070.0000000000
2019-03-29 15:18:18,928		43.0725419521	2463140.0000000000
2019-03-29 15:18:19,918		44.0625410080	2463120.0000000000
2019-03-29 15:18:20,896		45.0407509804	2463170.0000000000
2019-03-29 15:18:21,899		46.0438139439	2463180.0000000000
2019-03-29 15:18:22,892		47.0369319916	2463190.0000000000
2019-03-29 15:18:23,893		48.0380380154	2463170.0000000000
2019-03-29 15:18:24,908		49.0531799793	2463150.0000000000
2019-03-29 15:18:25,893		50.0382089615	2463200.0000000000
2019-03-29 15:18:26,896		51.0412919521	2462820.0000000000
2019-03-29 15:18:27,892		52.0372409821	2462850.0000000000
2019-03-29 15:18:28,894		53.0392849445	2463150.0000000000
2019-03-29 15:18:29,893		54.0373818874	2464300.0000000000
2019-03-29 15:18:30,920		55.0653560162	2462670.0000000000
2019-03-29 15:18:31,910		56.0545170307	2462380.0000000000
2019-03-29 15:18:32,895		57.0396230221	2462130.0000000000
2019-03-29 15:18:33,897		58.0418469906	2462400.0000000000
2019-03-29 15:18:34,892		59.0368938446	2461830.0000000000
2019-03-29 15:18:35,916		60.0610599518	2461950.0000000000
2019-03-29 15:18:36,901		61.0461049080	2461930.0000000000
2019-03-29 15:18:37,899		62.0442638397	2461850.0000000000
2019-03-29 15:18:38,892		63.0373039246	2461480.0000000000
2019-03-29 15:18:39,892		64.0372848511	2461340.0000000000
2019-03-29 15:18:40,899		65.0433950424	2461220.0000000000
2019-03-29 15:18:41,929		66.0734479427	2461130.0000000000
2019-03-29 15:18:42,918		67.0625760555	2460710.0000000000
2019-03-29 15:18:43,896		68.0407190323	2460460.0000000000
2019-03-29 15:18:44,899		69.0438199043	2460320.0000000000
2019-03-29 15:18:45,892		70.0369629860	2460510.0000000000
2019-03-29 15:18:46,894		71.0390329361	2460070.0000000000
2019-03-29 15:18:47,905		72.0501308441	2459840.0000000000
2019-03-29 15:18:48,892		73.0372049809	2459560.0000000000
2019-03-29 15:18:49,896		74.0411889553	2459490.0000000000
2019-03-29 15:18:50,892		75.0373368263	2459390.0000000000
2019-03-29 15:18:51,896		76.0404279232	2459360.0000000000
2019-03-29 15:18:52,893		77.0375308990	2459350.0000000000
2019-03-29 15:18:53,920		78.0645899773	2459320.0000000000
2019-03-29 15:18:54,910		79.0546689034	2459430.0000000000
2019-03-29 15:18:55,895		80.0397758484	2459500.0000000000
2019-03-29 15:18:56,897		81.0419080257	2459540.0000000000
2019-03-29 15:18:57,892		82.0369949341	2459620.0000000000
2019-03-29 15:18:58,917		83.0620799065	2459610.0000000000
2019-03-29 15:18:59,901		84.0462260246	2459590.0000000000
2019-03-29 15:19:00,899		85.0443160534	2459580.0000000000
2019-03-29 15:19:01,892		86.0372488499	2459560.0000000000
2019-03-29 15:19:02,893		87.0374670029	2459640.0000000000
2019-03-29 15:19:03,899		88.0435118675	2459620.0000000000
2019-03-29 15:19:04,929		89.0735390186	2459870.0000000000
2019-03-29 15:19:05,919		90.0635638237	2459770.0000000000
2019-03-29 15:19:06,897		91.0417318344	2459770.0000000000
2019-03-29 15:19:07,900		92.0448708534	2459790.0000000000
2019-03-29 15:19:08,892		93.0370619297	2459650.0000000000
2019-03-29 15:19:09,894		94.0392060280	2459590.0000000000
2019-03-29 15:19:10,905		95.0503048897	2459570.0000000000
2019-03-29 15:19:11,894		96.0384130478	2459550.0000000000
2019-03-29 15:19:12,897		97.0414910316	2459550.0000000000
2019-03-29 15:19:13,893		98.0376069546	2459600.0000000000
2019-03-29 15:19:14,896		99.0405719280	2459700.0000000000
2019-03-29 15:19:15,893		100.0375969410	2459750.0000000000
2019-03-29 15:19:16,921		101.0656979084	2459740.0000000000
2019-03-29 15:19:17,910		102.0546739101	2459750.0000000000
2019-03-29 15:19:18,893		103.0380280018	2459550.0000000000
2019-03-29 15:19:19,897		104.0420229435	2459640.0000000000
2019-03-29 15:19:20,892		105.0371649265	2459570.0000000000
2019-03-29 15:19:21,917		106.0622630119	2459990.0000000000
2019-03-29 15:19:22,902		107.0463688374	2459320.0000000000
2019-03-29 15:19:23,895		108.0394730568	2459470.0000000000
2019-03-29 15:19:24,893		109.0376338959	2459520.0000000000
2019-03-29 15:19:25,894		110.0387399197	2459550.0000000000
2019-03-29 15:19:26,899		111.0438189507	2459580.0000000000
2019-03-29 15:19:27,929		112.0739219189	2459560.0000000000
2019-03-29 15:19:28,918		113.0629448891	2459560.0000000000
2019-03-29 15:19:29,896		114.0410819054	2459560.0000000000
2019-03-29 15:19:30,900		115.0452270508	2459800.0000000000
2019-03-29 15:19:31,893		116.0373868942	2459850.0000000000
2019-03-29 15:19:32,895		117.0394499302	2459740.0000000000
2019-03-29 15:19:33,906		118.0505030155	2459620.0000000000
2019-03-29 15:19:34,893		119.0375590324	2459940.0000000000
2019-03-29 15:19:35,898		120.0426089764	2459780.0000000000
2019-03-29 15:19:36,893		121.0378019810	2459850.0000000000
2019-03-29 15:19:37,896		122.0408549309	2459740.0000000000
2019-03-29 15:19:38,892		123.0369868279	2459750.0000000000
2019-03-29 15:19:39,921		124.0659830570	2459710.0000000000
2019-03-29 15:19:40,910		125.0549578667	2459630.0000000000
2019-03-29 15:19:41,895		126.0402159691	2459540.0000000000
2019-03-29 15:19:42,897		127.0423059464	2459390.0000000000
2019-03-29 15:19:43,893		128.0374338627	2459480.0000000000
2019-03-29 15:19:44,914		129.0585389137	2459380.0000000000
2019-03-29 15:19:45,902		130.0466370583	2459110.0000000000
2019-03-29 15:19:46,895		131.0397498608	2459140.0000000000
2019-03-29 15:19:47,892		132.0368070602	2458610.0000000000
2019-03-29 15:19:48,894		133.0389108658	2458620.0000000000
2019-03-29 15:19:49,899		134.0440139771	2458490.0000000000
2019-03-29 15:19:50,929		135.0740230083	2458660.0000000000
2019-03-29 15:19:51,919		136.0641849041	2458970.0000000000
2019-03-29 15:19:52,898		137.0423629284	2458780.0000000000
2019-03-29 15:19:53,901		138.0454599857	2458800.0000000000
2019-03-29 15:19:54,893		139.0375690460	2458810.0000000000
2019-03-29 15:19:55,895		140.0396180153	2458780.0000000000
2019-03-29 15:19:56,906		141.0507309437	2458720.0000000000
2019-03-29 15:19:57,894		142.0388619900	2459030.0000000000
2019-03-29 15:19:58,897		143.0420260429	2459220.0000000000
2019-03-29 15:19:59,893		144.0380928516	2459200.0000000000
2019-03-29 15:20:00,896		145.0411658287	2459160.0000000000
2019-03-29 15:20:01,893		146.0373568535	2459080.0000000000
2019-03-29 15:20:02,921		147.0654559135	2459030.0000000000
2019-03-29 15:20:03,911		148.0555028915	2459030.0000000000
2019-03-29 15:20:04,893		149.0377919674	2459100.0000000000
2019-03-29 15:20:05,898		150.0428929329	2459170.0000000000
2019-03-29 15:20:06,892		151.0369989872	2459150.0000000000
2019-03-29 15:20:07,918		152.0631558895	2459120.0000000000
2019-03-29 15:20:08,902		153.0472190380	2459000.0000000000
2019-03-29 15:20:09,895		154.0402629375	2459040.0000000000
2019-03-29 15:20:10,893		155.0374069214	2459020.0000000000
2019-03-29 15:20:11,894		156.0384829044	2459010.0000000000
2019-03-29 15:20:12,900		157.0446078777	2459110.0000000000
2019-03-29 15:20:13,929		158.0737118721	2458930.0000000000
2019-03-29 15:20:14,919		159.0637929440	2458940.0000000000
2019-03-29 15:20:15,897		160.0419528484	2458970.0000000000
2019-03-29 15:20:16,900		161.0450348854	2458960.0000000000
2019-03-29 15:20:17,892		162.0371899605	2459140.0000000000
2019-03-29 15:20:18,895		163.0402858257	2459120.0000000000
2019-03-29 15:20:19,910		164.0544028282	2459090.0000000000
2019-03-29 15:20:20,894		165.0384829044	2459090.0000000000
2019-03-29 15:20:21,898		166.0425388813	2459090.0000000000
2019-03-29 15:20:22,893		167.0376629829	2459080.0000000000
2019-03-29 15:20:23,897		168.0418009758	2459140.0000000000
2019-03-29 15:20:24,892		169.0369069576	2459230.0000000000
2019-03-29 15:20:25,921		170.0659549236	2459170.0000000000
2019-03-29 15:20:26,911		171.0559258461	2459240.0000000000
2019-03-29 15:20:27,893		172.0382118225	2459130.0000000000
2019-03-29 15:20:28,898		173.0433259010	2459170.0000000000
2019-03-29 15:20:29,893		174.0374498367	2459150.0000000000
2019-03-29 15:20:30,919		175.0634288788	2459190.0000000000
2019-03-29 15:20:31,902		176.0464818478	2459120.0000000000
2019-03-29 15:20:32,896		177.0405628681	2459550.0000000000
2019-03-29 15:20:33,893		178.0377478600	2459420.0000000000
2019-03-29 15:20:34,894		179.0388309956	2459140.0000000000
2019-03-29 15:20:35,892		180.0369908810	2459040.0000000000
2019-03-29 15:20:36,930		181.0751080513	2459110.0000000000
2019-03-29 15:20:37,919		182.0642390251	2458930.0000000000
2019-03-29 15:20:38,897		183.0422630310	2459070.0000000000
2019-03-29 15:20:39,902		184.0464329720	2459230.0000000000
2019-03-29 15:20:40,893		185.0375628471	2459280.0000000000
2019-03-29 15:20:41,895		186.0396449566	2459290.0000000000
2019-03-29 15:20:42,906		187.0507259369	2459140.0000000000
2019-03-29 15:20:43,894		188.0388100147	2459190.0000000000
2019-03-29 15:20:44,898		189.0428359509	2459200.0000000000
2019-03-29 15:20:45,893		190.0379989147	2459140.0000000000
2019-03-29 15:20:46,897		191.0419960022	2459050.0000000000
2019-03-29 15:20:47,893		192.0380868912	2458290.0000000000
2019-03-29 15:20:48,921		193.0661518574	2457880.0000000000
2019-03-29 15:20:49,911		194.0560028553	2458580.0000000000
2019-03-29 15:20:50,894		195.0392818451	2457460.0000000000
2019-03-29 15:20:51,898		196.0433368683	2458820.0000000000
2019-03-29 15:20:52,893		197.0374598503	2458800.0000000000
2019-03-29 15:20:53,919		198.0635828972	2459070.0000000000
2019-03-29 15:20:54,902		199.0467338562	2459030.0000000000
2019-03-29 15:20:55,896		200.0406408310	2458810.0000000000
2019-03-29 15:20:56,893		201.0378730297	2458650.0000000000
2019-03-29 15:20:57,894		202.0390019417	2458860.0000000000
2019-03-29 15:20:58,893		203.0381069183	2458640.0000000000
2019-03-29 15:20:59,930		204.0751168728	2458450.0000000000
2019-03-29 15:21:00,919		205.0642869473	2458610.0000000000
2019-03-29 15:21:01,898		206.0424849987	2457970.0000000000
2019-03-29 15:21:02,901		207.0456569195	2457790.0000000000
2019-03-29 15:21:03,892		208.0367729664	2458470.0000000000
2019-03-29 15:21:04,896		209.0408499241	2458740.0000000000
2019-03-29 15:21:05,907		210.0519659519	2458520.0000000000
2019-03-29 15:21:06,894		211.0390968323	2458290.0000000000
2019-03-29 15:21:07,898		212.0432279110	2458120.0000000000
2019-03-29 15:21:08,893		213.0374109745	2457950.0000000000
2019-03-29 15:21:09,898		214.0425128937	2457980.0000000000
2019-03-29 15:21:10,893		215.0376868248	2458320.0000000000
2019-03-29 15:21:11,922		216.0668230057	2458170.0000000000
2019-03-29 15:21:12,912		217.0567979813	2457670.0000000000
2019-03-29 15:21:13,894		218.0389559269	2457740.0000000000
2019-03-29 15:21:14,892		219.0370440483	2458220.0000000000
2019-03-29 15:21:15,892		220.0372509956	2458320.0000000000
2019-03-29 15:21:16,918		221.0633239746	2458350.0000000000
