2019-05-08 11:20:52,431	Starting receiving
2019-05-08 11:20:52,431	Print Interval = 1, Flow interval = 1 * 6 = 6 s, running average n = 4 (24 s)
2019-05-08 11:20:52,472	1679100.0000000000	0.0010781898	0.0010781898	0.0005390949
2019-05-08 11:20:53,469	1679000.0000000000	-100.2745516183	0.0010781256	0.0007187718
2019-05-08 11:20:54,471	1679100.0000000000	99.8719664660	0.0010781898	0.0008086263
2019-05-08 11:20:55,470	1679300.0000000000	200.1653129206	0.0010783182	0.0010782059
2019-05-08 11:20:56,496	1678500.0000000000	-779.6366745627	0.0010778045	0.0010781096
2019-05-08 11:20:57,479	1678400.0000000000	-101.7132616574	-139.8044679237	-34.9503084028
2019-05-08 11:20:58,468	1678600.0000000000	202.2146540519	-80.0195398361	-54.9554629093
2019-05-08 11:20:59,473	1679000.0000000000	397.9335331237	-19.9892454788	-59.9530438585
2019-05-08 11:21:00,468	1679000.0000000000	0.0000000000	-60.0165756228	-74.9574572154
2019-05-08 11:21:01,490	1679000.0000000000	0.0000000000	100.1234718909	-14.9754722617
2019-05-08 11:21:02,472	1679000.0000000000	0.0000000000	120.1706907528	35.0720853855
2019-05-08 11:21:03,470	1679200.0000000000	200.3536267039	119.9499815660	70.0568921467
2019-05-08 11:21:04,468	1679100.0000000000	-100.1826277666	20.0197433630	90.0659718932
2019-05-08 11:21:05,469	1679100.0000000000	0.0000000000	19.9993639195	70.0349449003
2019-05-08 11:21:06,474	1679600.0000000000	497.4387438032	120.3858612452	70.0887375234
2019-05-08 11:21:07,504	1679600.0000000000	0.0000000000	119.2375490509	69.9106293946
2019-05-08 11:21:08,487	1679600.0000000000	0.0000000000	79.7301916009	84.8382414541
2019-05-08 11:21:09,469	1679600.0000000000	0.0000000000	99.9824840714	104.8340214921
2019-05-08 11:21:10,471	1679500.0000000000	-99.8820267771	79.9701878105	94.7301031334
2019-05-08 11:21:11,469	1679600.0000000000	100.1764066074	0.0000000000	64.9207158707
2019-05-08 11:21:12,470	1679400.0000000000	-199.7641011255	-40.2745345023	34.9195343449
2019-05-08 11:21:13,481	1678900.0000000000	-494.4674120787	-140.1703644953	-25.1186777968
2019-05-08 11:21:14,468	1678700.0000000000	-202.5933841197	-180.0363995711	-90.1203246422
2019-05-08 11:21:15,473	1678900.0000000000	199.1478665445	-119.9499358278	-120.1078085991
2019-05-08 11:21:16,469	1679100.0000000000	200.7723478873	-99.9999809265	-135.0391702052
2019-05-08 11:21:17,471	1678900.0000000000	-199.5599911694	-99.9795049719	-124.9914553243
2019-05-08 11:21:18,469	1679200.0000000000	300.5352493077	60.1436833706	-64.9464345889
2019-05-08 11:21:19,495	1679400.0000000000	194.8850335983	139.2452353059	-0.1476418055
2019-05-08 11:21:20,479	1678800.0000000000	-610.2329551379	-19.9758126349	19.8584002674
2019-05-08 11:21:21,469	1678600.0000000000	-201.9629044051	-99.9963618648	19.8541860442
2019-05-08 11:21:22,473	1678800.0000000000	199.1601596490	-19.9912281379	-0.1795418330
2019-05-08 11:21:23,469	1679000.0000000000	200.7711465767	-39.9989280988	-44.9905826841
2019-05-08 11:21:24,489	1679000.0000000000	0.0000000000	-80.0959248184	-60.0206107300
2019-05-08 11:21:25,473	1678700.0000000000	-305.1016070866	-20.0237890579	-40.0274675283
2019-05-08 11:21:26,471	1678700.0000000000	0.0000000000	19.9919990135	-30.0316607404
2019-05-08 11:21:27,475	1678700.0000000000	0.0000000000	-19.9922143738	-25.0299823092
2019-05-08 11:21:28,469	1679100.0000000000	402.3294857889	20.0000076294	-0.0059991972
2019-05-08 11:21:29,475	1679500.0000000000	397.9232454674	100.2990291834	30.0747053631
2019-05-08 11:21:30,505	1679500.0000000000	0.0000000000	158.9868714090	64.8234234620
2019-05-08 11:21:31,488	1679300.0000000000	-203.3969286574	119.5948384054	99.7201866568
2019-05-08 11:21:32,470	1679300.0000000000	0.0000000000	120.1212007813	124.7504849448
2019-05-08 11:21:33,471	1679200.0000000000	-99.8773650098	19.9921114577	104.6737555134
2019-05-08 11:21:34,469	1679000.0000000000	-200.5535143571	-100.1202645103	39.8969715335
2019-05-08 11:21:35,470	1678800.0000000000	-199.7559191976	-140.9821379867	-25.2472725645
2019-05-08 11:21:36,481	1678800.0000000000	0.0000000000	-100.1388137557	-80.3122761988
2019-05-08 11:21:37,469	1679100.0000000000	303.5960568669	-40.0076422985	-95.3122146378
2019-05-08 11:21:38,473	1677800.0000000000	-1294.6157272467	-279.8893869763	-140.2544952543
2019-05-08 11:21:39,468	1678200.0000000000	401.9365151161	-160.0026245548	-145.0096168963
2019-05-08 11:21:40,472	1678300.0000000000	99.6825078434	-99.9623916974	-144.9655113817
2019-05-08 11:21:41,470	1678400.0000000000	100.1798281494	-80.1782182524	-155.0081553702
2019-05-08 11:21:42,496	1678400.0000000000	0.0000000000	-139.2513310040	-119.8486413771
2019-05-08 11:21:43,479	1681900.0000000000	3559.7215863680	819.0260271982	124.9085215611
2019-05-08 11:21:44,469	1678000.0000000000	-3938.6493034437	-39.9923930332	139.9010212271
2019-05-08 11:21:45,474	1684300.0000000000	6273.6075864166	1199.5266874629	459.8272476559
2019-05-08 11:21:46,469	1695900.0000000000	11655.8322251404	3500.7156166004	1369.8189845571
2019-05-08 11:21:47,493	1688700.0000000000	-7029.8412320046	2061.2234740164	1680.3683462616
2019-05-08 11:21:48,473	1685700.0000000000	-3060.7560555742	760.9193140344	1880.5962730285
2019-05-08 11:21:49,470	1683600.0000000000	-2105.8441223106	1119.7767550176	1860.6587899172
