2019-04-26 15:42:24,053	Starting receiving
2019-04-26 15:42:24,053	Print Interval = 1, Flow interval = 1 * 6 = 6 s, running average n = 4 (24 s)
2019-04-26 15:42:24,106	2203900.0000000000	0.0014161048	0.0014161048	0.0007080524
2019-04-26 15:42:25,094	2203600.0000000000	-303.8969018384	0.0014159121	0.0009440056
2019-04-26 15:42:26,091	2203300.0000000000	-300.8544392778	0.0014157193	0.0010619340
2019-04-26 15:42:27,092	2202900.0000000000	-399.5420935527	0.0014154623	0.0014157996
2019-04-26 15:42:28,097	2203400.0000000000	497.4678893163	0.0014157835	0.0014157193
2019-04-26 15:42:29,091	2202900.0000000000	-502.9660132819	-200.6148490337	-50.1526505171
2019-04-26 15:42:30,121	2202700.0000000000	-194.1885172716	-179.0180500341	-94.9075169555
2019-04-26 15:42:31,104	2202600.0000000000	-101.7167643221	-139.6261326859	-129.8144039925
2019-04-26 15:42:32,093	2200900.0000000000	-1718.5987751491	-399.8864305696	-229.7863655808
2019-04-26 15:42:33,091	2200800.0000000000	-100.2850049159	-520.6781235499	-309.8021842099
2019-04-26 15:42:34,093	2202400.0000000000	1596.6041313515	-99.9697681299	-290.0401137338
2019-04-26 15:42:35,091	2202500.0000000000	100.2026124850	-40.2449872763	-265.1948273814
2019-04-26 15:42:36,098	2202300.0000000000	-198.5791775895	-60.0769484956	-180.2424568629
2019-04-26 15:42:37,096	2203100.0000000000	801.4931840277	439.7752841975	59.8708950739
2019-04-26 15:42:38,091	2203600.0000000000	502.4438756722	559.9403254210	224.8484184617
2019-04-26 15:42:39,094	2203700.0000000000	99.6881702438	259.9202572377	299.8897295902
2019-04-26 15:42:40,090	2203600.0000000000	-100.3922289505	220.0154429785	369.9128274587
2019-04-26 15:42:41,130	2203800.0000000000	192.2951355929	298.0589200494	334.4837364216
2019-04-26 15:42:42,112	2203800.0000000000	0.0000000000	139.5403818409	229.3837505266
2019-04-26 15:42:43,096	2204400.0000000000	610.2279241242	159.8538247682	204.3671424092
2019-04-26 15:42:44,097	2204600.0000000000	199.7804669923	179.9084995243	194.3404065457
2019-04-26 15:42:45,091	2203900.0000000000	-704.1701513264	59.9936663638	134.8240931243
2019-04-26 15:42:46,095	2204600.0000000000	697.1166658594	161.1410061699	140.2242492065
2019-04-26 15:42:47,106	2204600.0000000000	0.0000000000	160.2027789482	140.3114877515
2019-04-26 15:42:48,093	2204200.0000000000	-405.1987071099	-40.0191933177	85.3295645410
2019-04-26 15:42:49,090	2204600.0000000000	401.1610254497	0.0000000000	70.3311479501
2019-04-26 15:42:50,092	2204600.0000000000	0.0000000000	139.9549600589	65.0346364223
2019-04-26 15:42:51,091	2204400.0000000000	-200.3427647781	-40.0339318819	14.9754587148
2019-04-26 15:42:52,092	2204100.0000000000	-299.6694872265	-100.2858969036	-0.0912171816
2019-04-26 15:42:53,121	2203900.0000000000	-194.3317527069	-59.6689113361	-15.0084450157
2019-04-26 15:42:54,104	2203800.0000000000	-101.7188364344	-159.5615229336	-89.8875657638
2019-04-26 15:42:55,094	2204300.0000000000	504.9898142485	-59.9786357685	-94.8737417355
2019-04-26 15:42:56,090	2203700.0000000000	-602.3545271091	-140.0116768085	-104.8051867117
2019-04-26 15:42:57,092	2203700.0000000000	0.0000000000	-79.9904987177	-109.8855835571
2019-04-26 15:42:58,090	2203700.0000000000	0.0000000000	-40.2457229185	-80.0566335533
2019-04-26 15:42:59,098	2203700.0000000000	0.0000000000	-20.0259898837	-70.0684720821
2019-04-26 15:43:00,097	2203300.0000000000	-400.3718969609	-199.9015244175	-85.0409339843
2019-04-26 15:43:01,092	2204100.0000000000	803.8949856516	79.9755781363	-45.0494147708
2019-04-26 15:43:02,095	2203800.0000000000	-299.0669274776	19.9898732942	-29.9905157177
2019-04-26 15:43:03,091	2203400.0000000000	-401.5619954959	-59.9928368538	-39.9822274602
2019-04-26 15:43:04,130	2203600.0000000000	192.4733418045	-19.8705984355	5.0255040353
2019-04-26 15:43:05,113	2203800.0000000000	203.4668845749	99.6720613369	9.9496248354
2019-04-26 15:43:06,096	2204100.0000000000	305.0972423943	0.0000000000	4.9521565119
2019-04-26 15:43:07,097	2204100.0000000000	0.0000000000	59.9804569977	34.9454799748
2019-04-26 15:43:08,091	2203500.0000000000	-603.5142010048	20.0012160087	44.9134335858
2019-04-26 15:43:09,096	2203500.0000000000	0.0000000000	-20.1380784375	14.9608986422
2019-04-26 15:43:10,107	2198900.0000000000	-4549.5593054716	-981.2082444050	-230.3411624590
2019-04-26 15:43:11,094	2203400.0000000000	4558.8223714641	-140.0659137012	-280.3527551337
2019-04-26 15:43:12,090	2204000.0000000000	602.3631777980	-20.0257776197	-290.3595035408
2019-04-26 15:43:13,092	2203900.0000000000	-99.7864524847	79.9755781363	-265.3310893974
2019-04-26 15:43:14,090	2203800.0000000000	-100.1942586210	60.0665295290	-5.0123959139
2019-04-26 15:43:15,092	2204800.0000000000	998.8186027793	1183.6556335320	325.9179908944
2019-04-26 15:43:16,122	2204500.0000000000	-291.2454248827	218.7957507552	385.6233729881
2019-04-26 15:43:17,105	2205700.0000000000	1220.6162685627	339.0132632452	450.3827942653
2019-04-26 15:43:18,095	2203500.0000000000	-2221.9011447495	-79.9591235274	415.3763810012
2019-04-26 15:43:19,091	2206100.0000000000	2609.9043482569	459.9356092954	234.4463749421
2019-04-26 15:43:20,093	2202700.0000000000	-3392.8281749251	-419.8630388713	74.7816775355
2019-04-26 15:43:21,090	2201700.0000000000	-1002.8629974201	-563.5257440988	-150.8530743005
