Enter a label: 2019-03-29 12:08:58,879		0.0376250744	2210810.0000000000
2019-03-29 12:08:59,879		1.0377140045	2210860.0000000000
2019-03-29 12:09:00,884		2.0429379940	2210820.0000000000
2019-03-29 12:09:01,879		3.0370199680	2210830.0000000000
2019-03-29 12:09:02,890		4.0480830669	2210990.0000000000
2019-03-29 12:09:03,879		5.0372781754	2210980.0000000000
2019-03-29 12:09:04,882		6.0403590202	2211530.0000000000
2019-03-29 12:09:05,879		7.0373740196	2211130.0000000000
2019-03-29 12:09:06,880		8.0384950638	2211270.0000000000
2019-03-29 12:09:07,922		9.0805280209	2210890.0000000000
2019-03-29 12:09:08,905		10.0636529922	2210480.0000000000
2019-03-29 12:09:09,888		11.0467729568	2210890.0000000000
2019-03-29 12:09:10,878		12.0369360447	2210570.0000000000
2019-03-29 12:09:11,882		13.0409259796	2210730.0000000000
2019-03-29 12:09:12,879		14.0370311737	2210980.0000000000
2019-03-29 12:09:13,903		15.0611281395	2211210.0000000000
2019-03-29 12:09:14,882		16.0400571823	2211330.0000000000
2019-03-29 12:09:15,880		17.0381431580	2211500.0000000000
2019-03-29 12:09:16,885		18.0432600975	2211850.0000000000
2019-03-29 12:09:17,879		19.0373411179	2211220.0000000000
2019-03-29 12:09:18,884		20.0424540043	2211130.0000000000
2019-03-29 12:09:19,914		21.0724439621	2211450.0000000000
2019-03-29 12:09:20,897		22.0554981232	2211520.0000000000
2019-03-29 12:09:21,879		23.0376231670	2211540.0000000000
2019-03-29 12:09:22,880		24.0387601852	2211200.0000000000
2019-03-29 12:09:23,878		25.0368809700	2211440.0000000000
2019-03-29 12:09:24,879		26.0370340347	2211730.0000000000
2019-03-29 12:09:25,893		27.0519649982	2211110.0000000000
2019-03-29 12:09:26,879		28.0372259617	2211030.0000000000
2019-03-29 12:09:27,882		29.0402681828	2211060.0000000000
2019-03-29 12:09:28,879		30.0374281406	2211110.0000000000
2019-03-29 12:09:29,881		31.0395290852	2211140.0000000000
2019-03-29 12:09:30,922		32.0806579590	2211130.0000000000
2019-03-29 12:09:31,905		33.0636930466	2211120.0000000000
2019-03-29 12:09:32,888		34.0468471050	2211070.0000000000
2019-03-29 12:09:33,878		35.0369830132	2210990.0000000000
2019-03-29 12:09:34,883		36.0411190987	2210920.0000000000
2019-03-29 12:09:35,879		37.0371940136	2210930.0000000000
2019-03-29 12:09:36,899		38.0573019981	2210780.0000000000
2019-03-29 12:09:37,885		39.0433790684	2210730.0000000000
2019-03-29 12:09:38,880		40.0384330750	2210720.0000000000
2019-03-29 12:09:39,884		41.0425360203	2210720.0000000000
2019-03-29 12:09:40,879		42.0375959873	2210720.0000000000
2019-03-29 12:09:41,884		43.0426921844	2210720.0000000000
2019-03-29 12:09:42,914		44.0728001595	2210620.0000000000
2019-03-29 12:09:43,896		45.0549559593	2210690.0000000000
2019-03-29 12:09:44,880		46.0380430222	2210830.0000000000
2019-03-29 12:09:45,881		47.0391969681	2210830.0000000000
2019-03-29 12:09:46,885		48.0431959629	2210800.0000000000
2019-03-29 12:09:47,880		49.0383059978	2210790.0000000000
2019-03-29 12:09:48,891		50.0494019985	2210790.0000000000
2019-03-29 12:09:49,879		51.0375320911	2210770.0000000000
2019-03-29 12:09:50,882		52.0406789780	2210770.0000000000
2019-03-29 12:09:51,878		53.0369110107	2211310.0000000000
2019-03-29 12:09:52,880		54.0389611721	2210730.0000000000
2019-03-29 12:09:53,879		55.0370500088	2210340.0000000000
2019-03-29 12:09:54,906		56.0640420914	2210240.0000000000
2019-03-29 12:09:55,889		57.0472350121	2210000.0000000000
2019-03-29 12:09:56,879		58.0373899937	2209670.0000000000
2019-03-29 12:09:57,883		59.0414710045	2210240.0000000000
2019-03-29 12:09:58,879		60.0375421047	2210120.0000000000
2019-03-29 12:09:59,903		61.0615479946	2209470.0000000000
2019-03-29 12:10:00,882		62.0407221317	2209660.0000000000
2019-03-29 12:10:01,880		63.0387821198	2210150.0000000000
2019-03-29 12:10:02,878		64.0368790627	2208900.0000000000
2019-03-29 12:10:03,878		65.0369980335	2209190.0000000000
2019-03-29 12:10:04,884		66.0420541763	2208690.0000000000
2019-03-29 12:10:05,915		67.0731580257	2208630.0000000000
2019-03-29 12:10:06,898		68.0562610626	2208410.0000000000
2019-03-29 12:10:07,880		69.0383460522	2208630.0000000000
2019-03-29 12:10:08,881		70.0394470692	2208810.0000000000
2019-03-29 12:10:09,885		71.0435509682	2208090.0000000000
2019-03-29 12:10:10,879		72.0376241207	2207680.0000000000
2019-03-29 12:10:11,894		73.0526831150	2208670.0000000000
2019-03-29 12:10:12,878		74.0368349552	2209590.0000000000
2019-03-29 12:10:13,882		75.0409231186	2208410.0000000000
2019-03-29 12:10:14,879		76.0370631218	2208240.0000000000
2019-03-29 12:10:15,882		77.0401561260	2208380.0000000000
2019-03-29 12:10:16,879		78.0373260975	2208310.0000000000
2019-03-29 12:10:17,906		79.0643620491	2207730.0000000000
2019-03-29 12:10:18,889		80.0475239754	2208190.0000000000
2019-03-29 12:10:19,879		81.0376331806	2208330.0000000000
2019-03-29 12:10:20,883		82.0417261124	2208510.0000000000
2019-03-29 12:10:21,878		83.0368111134	2208120.0000000000
2019-03-29 12:10:22,899		84.0578851700	2207900.0000000000
2019-03-29 12:10:23,885		85.0439779758	2207720.0000000000
2019-03-29 12:10:24,881		86.0390100479	2207760.0000000000
2019-03-29 12:10:25,879		87.0370910168	2207950.0000000000
2019-03-29 12:10:26,879		88.0371701717	2207930.0000000000
2019-03-29 12:10:27,885		89.0432450771	2207790.0000000000
