Enter a label: 2019-03-29 14:59:43,999		0.0378730297	2403980.0000000000
2019-03-29 14:59:45,004		1.0428709984	2404080.0000000000
2019-03-29 14:59:45,998		2.0370278358	2404050.0000000000
2019-03-29 14:59:47,003		3.0422189236	2403940.0000000000
2019-03-29 14:59:48,033		4.0722768307	2404010.0000000000
2019-03-29 14:59:49,015		5.0543320179	2403940.0000000000
2019-03-29 14:59:49,998		6.0374529362	2404010.0000000000
2019-03-29 14:59:51,000		7.0385978222	2404160.0000000000
2019-03-29 14:59:52,005		8.0436990261	2403830.0000000000
2019-03-29 14:59:52,999		9.0377609730	2403320.0000000000
2019-03-29 14:59:54,010		10.0489449501	2403680.0000000000
2019-03-29 14:59:54,999		11.0380098820	2403790.0000000000
2019-03-29 14:59:56,001		12.0400710106	2403550.0000000000
2019-03-29 14:59:56,998		13.0372388363	2403990.0000000000
2019-03-29 14:59:58,000		14.0392849445	2403950.0000000000
2019-03-29 14:59:58,998		15.0373849869	2404180.0000000000
2019-03-29 15:00:00,024		16.0634648800	2404050.0000000000
2019-03-29 15:00:01,008		17.0466659069	2403890.0000000000
2019-03-29 15:00:01,998		18.0367119312	2404000.0000000000
2019-03-29 15:00:03,002		19.0407929420	2404040.0000000000
2019-03-29 15:00:03,998		20.0369160175	2404050.0000000000
2019-03-29 15:00:05,019		21.0579400063	2403910.0000000000
2019-03-29 15:00:06,001		22.0400438309	2404020.0000000000
2019-03-29 15:00:06,999		23.0381820202	2403970.0000000000
2019-03-29 15:00:08,004		24.0432338715	2404010.0000000000
2019-03-29 15:00:08,998		25.0373659134	2404050.0000000000
2019-03-29 15:00:10,003		26.0423998833	2404090.0000000000
2019-03-29 15:00:11,033		27.0724599361	2404160.0000000000
2019-03-29 15:00:12,017		28.0555949211	2404210.0000000000
2019-03-29 15:00:13,000		29.0386409760	2404250.0000000000
2019-03-29 15:00:14,000		30.0386579037	2404210.0000000000
2019-03-29 15:00:14,998		31.0367879868	2404210.0000000000
2019-03-29 15:00:15,999		32.0379209518	2404200.0000000000
2019-03-29 15:00:17,014		33.0529499054	2404310.0000000000
2019-03-29 15:00:17,998		34.0370190144	2404330.0000000000
2019-03-29 15:00:19,002		35.0410768986	2404290.0000000000
2019-03-29 15:00:19,998		36.0372359753	2404270.0000000000
2019-03-29 15:00:21,000		37.0392708778	2404270.0000000000
2019-03-29 15:00:21,998		38.0373079777	2404290.0000000000
2019-03-29 15:00:23,024		39.0634388924	2404280.0000000000
2019-03-29 15:00:24,008		40.0466129780	2404280.0000000000
2019-03-29 15:00:24,999		41.0377240181	2404280.0000000000
2019-03-29 15:00:26,002		42.0408458710	2404270.0000000000
2019-03-29 15:00:26,998		43.0369789600	2404270.0000000000
2019-03-29 15:00:28,019		44.0580749512	2404310.0000000000
2019-03-29 15:00:29,001		45.0402419567	2404330.0000000000
2019-03-29 15:00:29,999		46.0382709503	2404340.0000000000
2019-03-29 15:00:31,004		47.0433139801	2404340.0000000000
2019-03-29 15:00:31,998		48.0373909473	2404350.0000000000
2019-03-29 15:00:33,003		49.0425260067	2404350.0000000000
2019-03-29 15:00:34,034		50.0726330280	2404380.0000000000
2019-03-29 15:00:35,017		51.0557138920	2404020.0000000000
2019-03-29 15:00:35,999		52.0377869606	2404660.0000000000
2019-03-29 15:00:37,000		53.0388019085	2402710.0000000000
2019-03-29 15:00:37,998		54.0368518829	2403800.0000000000
2019-03-29 15:00:38,999		55.0378458500	2402920.0000000000
2019-03-29 15:00:40,010		56.0491459370	2403170.0000000000
2019-03-29 15:00:40,999		57.0383000374	2402720.0000000000
2019-03-29 15:00:42,002		58.0413599014	2402460.0000000000
2019-03-29 15:00:42,999		59.0376479626	2401960.0000000000
2019-03-29 15:00:44,001		60.0397388935	2401470.0000000000
2019-03-29 15:00:44,998		61.0368049145	2401540.0000000000
2019-03-29 15:00:46,025		62.0638449192	2400920.0000000000
2019-03-29 15:00:47,009		63.0478470325	2400990.0000000000
2019-03-29 15:00:47,998		64.0370409489	2401050.0000000000
2019-03-29 15:00:49,003		65.0421729088	2399690.0000000000
2019-03-29 15:00:49,998		66.0373129845	2399180.0000000000
2019-03-29 15:00:51,022		67.0614440441	2398610.0000000000
2019-03-29 15:00:52,001		68.0405199528	2398080.0000000000
2019-03-29 15:00:53,000		69.0386338234	2397630.0000000000
2019-03-29 15:00:53,998		70.0366799831	2396980.0000000000
