2019-04-19 15:26:13,785	Starting receiving
2019-04-19 15:26:13,786	Print Interval = 1, Flow interval = 1 * 6 = 6 s, running average n = 4 (24 s)
2019-04-19 15:26:13,827	2261800.0000000000	0.0014538741	0.0014538741	0.0007269370
2019-04-19 15:26:14,830	2262100.0000000000	299.1590772817	0.0014540669	0.0009693137
2019-04-19 15:26:15,824	2262400.0000000000	301.5723911816	0.0014542597	0.0010905502
2019-04-19 15:26:16,837	2262600.0000000000	197.5948783577	0.0014543883	0.0014541473
2019-04-19 15:26:17,824	2261600.0000000000	-1013.0777554491	0.0014537455	0.0014541151
2019-04-19 15:26:18,825	2259700.0000000000	-1897.4991380608	-420.1531033523	-105.0371852397
2019-04-19 15:26:19,823	2262400.0000000000	2705.1861767882	60.0787039869	-90.0178728079
2019-04-19 15:26:20,823	2264200.0000000000	1799.9656683794	360.0948507288	0.0054762772
2019-04-19 15:26:21,865	2263200.0000000000	-959.3100421320	119.3097489727	29.8325500840
2019-04-19 15:26:22,848	2263500.0000000000	305.4130799655	378.1762837361	229.4148968561
2019-04-19 15:26:23,838	2263500.0000000000	0.0000000000	758.0247602904	403.9014109320
2019-04-19 15:26:24,823	2264000.0000000000	507.4802539879	319.9868169494	393.8744024871
2019-04-19 15:26:25,829	2261700.0000000000	-2286.0503263349	-499.3718895101	239.2039928664
2019-04-19 15:26:26,824	2261200.0000000000	-502.9104100185	-403.3814650322	43.8145556744
2019-04-19 15:26:27,842	2261000.0000000000	-196.4507013096	-500.6130573530	-270.8448987365
2019-04-19 15:26:28,829	2261800.0000000000	810.2193436472	-340.6111228332	-435.9943836821
2019-04-19 15:26:29,823	2263100.0000000000	1307.4905611740	-179.9985580560	-356.1510508186
2019-04-19 15:26:30,827	2261300.0000000000	-1792.7483158287	-80.0322853629	-275.3137559013
2019-04-19 15:26:31,824	2261400.0000000000	100.3694543853	39.9992866643	-140.1606698969
2019-04-19 15:26:32,827	2260900.0000000000	-498.3619646918	-20.0589376296	-60.0226235960
2019-04-19 15:26:33,856	2260400.0000000000	-485.7862797213	-278.4860856684	-84.6445054992
2019-04-19 15:26:34,840	2261800.0000000000	1422.4130822675	-259.1110922084	-129.4142072105
2019-04-19 15:26:35,830	2263400.0000000000	1617.4033717080	419.8028650944	-34.4633126030
2019-04-19 15:26:36,828	2265100.0000000000	1703.0928751063	739.3770221719	155.3956773474
2019-04-19 15:26:37,828	2265200.0000000000	99.9815974728	859.8091091532	439.9694760528
2019-04-19 15:26:38,823	2265500.0000000000	301.4757151383	1026.7858427740	761.4437097984
2019-04-19 15:26:39,833	2265300.0000000000	-197.9631661333	700.9811018611	831.7382689900
2019-04-19 15:26:40,823	2265400.0000000000	101.0046999663	400.4954172189	747.0178677518
2019-04-19 15:26:41,825	2264900.0000000000	-499.3901547497	-40.0251985882	522.0592908164
2019-04-19 15:26:42,830	2264400.0000000000	-497.4579770987	-159.9431202035	225.3770500721
2019-04-19 15:26:43,823	2263800.0000000000	-603.9808873248	-339.9944230041	-34.8668311442
2019-04-19 15:26:44,865	2263700.0000000000	-95.9558479523	-317.9688765222	-214.4829045795
2019-04-19 15:26:45,847	2262600.0000000000	-1120.1880975470	-557.3399245706	-343.8115860751
2019-04-19 15:26:46,838	2262400.0000000000	-201.9106468134	-498.6854633760	-428.4971718682
2019-04-19 15:26:47,823	2263100.0000000000	710.5842957199	-260.3553959809	-408.5874151124
2019-04-19 15:26:48,825	2263100.0000000000	0.0000000000	-139.9437729725	-364.0811392250
2019-04-19 15:26:49,822	2263200.0000000000	100.2771647384	-100.8654464932	-249.9625197057
2019-04-19 15:26:50,846	2262500.0000000000	-684.0693842773	-20.0063658943	-130.2927453352
2019-04-19 15:26:51,829	2262500.0000000000	0.0000000000	20.0355272843	-60.1950145189
2019-04-19 15:26:52,823	2263400.0000000000	905.2205035113	59.9968559005	-10.2098573007
2019-04-19 15:26:53,827	2263300.0000000000	-99.6028759730	39.9839580048	25.0024938238
2019-04-19 15:26:54,824	2262600.0000000000	-702.5298621746	-119.9719513665	0.0110974558
2019-04-19 15:26:55,827	2263000.0000000000	398.7439619956	100.3808259618	20.0974221252
2019-04-19 15:26:56,857	2263300.0000000000	291.2063985781	159.1100648694	44.8757243674
2019-04-19 15:26:57,840	2263000.0000000000	-305.1699048905	-79.7322263511	14.9466782784
2019-04-19 15:26:58,829	2263200.0000000000	202.1394188600	-19.9911195150	39.9418862413
2019-04-19 15:26:59,828	2263500.0000000000	300.5503240797	179.8564340255	59.8107882572
2019-04-19 15:27:00,828	2263400.0000000000	-99.9712073282	79.9819376728	40.0287564581
2019-04-19 15:27:01,823	2264400.0000000000	1004.8403248604	221.5011131384	115.3370913304
2019-04-19 15:27:02,837	2262500.0000000000	-1873.4127770533	-100.0550716253	95.3211033028
2019-04-19 15:27:03,823	2262300.0000000000	-202.8119869927	-180.2174569487	5.3026305593
2019-04-19 15:27:04,826	2258500.0000000000	-3791.1401853331	-1000.3731689120	-264.7861460869
2019-04-19 15:27:05,823	2263400.0000000000	4914.5562965565	0.0000000000	-320.1614243715
2019-04-19 15:27:06,824	2261400.0000000000	-1997.5192361590	-599.8867534801	-445.1193448352
2019-04-19 15:27:07,866	2262900.0000000000	1439.2491466015	79.5392745535	-380.1801619596
2019-04-19 15:27:08,849	2261800.0000000000	-1119.8164307935	-99.4998938887	-154.9618432038
2019-04-19 15:27:09,838	2262200.0000000000	404.3405131349	738.2195308747	29.5930395148
2019-04-19 15:27:10,824	2261700.0000000000	-507.0542404747	-339.9246125520	94.5835747469
